Bauhauptgewerbe seit 2019;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;
;;Berichtsjahr;;;;;;;;;;;;;;
;;2019;;;2020;;;2021;;;2022;;;2023;;
;;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes;Betriebe des Bauhauptgewerbes;Beschäftigte der Betriebe des Bauhauptgewerbes;Gesamtumsatz d.Vj.d.Betriebe des Bauhauptgewerbes
;;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR;Anzahl;Anzahl;Tsd. EUR
9173133;      Kochel a.See;13;99;12079;15;114;14915;16;116;15730;16;113;13720;17;112;13625
9173134;      Königsdorf;12;56;7532;13;59;7466;12;52;7744;12;62;8042;13;63;8533
9173135;      Lenggries;37;238;43611;34;227;41044;33;229;38650;38;227;44166;39;242;43556
9173137;      Münsing;16;145;21174;15;137;23507;15;141;21977;16;142;21626;15;153;23202
9173140;      Reichersbeuern;15;26;3135;17;32;3374;17;30;3477;18;33;3803;19;37;4137
9173141;      Sachsenkam;1;.;.;1;.;.;1;.;.;2;.;.;2;.;.
9173142;      Schlehdorf;3;.;.;4;.;.;3;.;.;3;.;.;4;.;.
9173145;      Wackersberg;25;173;16037;26;101;11176;26;105;11596;29;104;13271;32;119;18460
9173147;      Wolfratshausen, St;22;593;168545;21;551;161312;23;567;191445;19;537;212982;18;513;166812
9173444;      Gemeindefreie Gebiete;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
9174111;      Altomünster, M;13;197;29012;13;198;28908;15;209;32424;14;212;30619;14;221;31102
9174113;      Bergkirchen;18;105;13746;16;95;14397;14;89;14961;14;87;13182;14;87;13013
9174115;      Dachau, GKSt;44;436;83539;49;454;84885;47;450;91332;54;545;103176;53;557;104192
9174118;      Erdweg;16;65;7955;17;67;7782;17;68;9105;19;79;29369;18;74;12909
9174121;      Haimhausen;4;14;750;4;16;1531;3;10;1233;2;.;.;3;10;.
9174122;      Hebertshausen;6;76;9100;7;91;11580;6;88;11268;6;85;12273;7;88;13825
9174126;      Karlsfeld;16;138;12693;17;184;14930;23;270;26506;32;439;50436;33;441;53362
9174131;      Markt Indersdorf, M;21;135;16536;23;136;18485;23;127;21165;23;118;19669;22;110;21370
9174135;      Odelzhausen;8;92;15612;11;106;2353;12;121;26264;13;123;19486;16;151;23576
9174136;      Petershausen;8;32;2484;9;65;5135;9;65;6523;9;54;5831;8;51;7451
9174137;      Pfaffenhofen a.d.Glonn;6;41;3115;9;47;4703;8;44;4779;7;54;4999;6;49;6387
9174141;      Röhrmoos;7;27;2932;7;31;3357;7;33;3821;7;34;3295;7;31;3843
9174143;      Schwabhausen;4;49;6122;6;58;6396;7;63;7000;5;29;3208;6;33;4404
9174146;      Sulzemoos;7;110;21459;8;128;23261;6;20;2048;7;.;.;7;23;.
9174147;      Hilgertshausen-Tandern;9;56;4798;10;61;6009;10;60;6458;9;54;6216;11;60;6696
9174150;      Vierkirchen;9;61;12723;11;70;12980;12;78;15517;11;76;12080;10;78;13250
9174151;      Weichs;5;26;2191;5;27;2079;5;30;2499;5;29;2709;5;30;2960
9175111;      Anzing;7;49;6842;10;57;8649;8;49;8618;9;55;8909;10;59;9985
9175112;      Aßling;5;21;2379;5;22;2935;7;26;3337;9;31;3880;8;29;3031
9175113;      Baiern;6;28;8139;6;29;6883;8;35;11397;8;32;9362;8;33;10026
9175114;      Bruck;2;.;.;2;.;.;2;.;.;2;.;.;2;.;.
9175115;      Ebersberg, St;12;75;8195;15;95;10936;15;99;12052;14;85;8560;13;85;12187
9175116;      Egmating;5;.;1815;5;.;2302;5;11;1730;6;12;1851;7;11;1891
9175118;      Forstinning;10;127;21196;11;134;21989;12;148;30028;12;141;29827;11;123;22854
9175119;      Frauenneuharting;4;30;4898;5;34;6721;5;34;6529;4;38;5808;5;35;5555
9175121;      Glonn, M;11;75;8684;8;69;9701;9;74;12452;10;76;10998;8;78;11908
9175122;      Grafing b.München, St;13;74;7664;11;70;7192;12;70;11317;14;74;9754;14;74;8975
9175123;      Hohenlinden;9;65;7561;8;67;8122;8;67;8953;7;54;5004;7;62;9322
9175124;      Kirchseeon, M;9;148;.;7;136;.;13;185;82080;12;178;69565;15;203;91056
9175127;      Markt Schwaben, M;11;89;10900;11;74;10733;12;91;11102;12;88;10741;11;74;12859
9175128;      Moosach;–;–;–;–;–;–;1;.;.;1;.;.;1;.;.
9175131;      Oberpframmern;9;42;5578;10;49;5311;8;46;7956;8;53;8637;9;53;9730
9175132;      Vaterstetten;18;181;35311;19;192;36891;21;203;41269;21;186;37091;24;188;35176
9175133;      Pliening;7;41;7136;6;43;5674;6;43;8572;7;30;5003;6;30;3803
9175135;      Poing;10;71;10813;9;73;12679;7;66;11156;9;63;10162;9;56;9725
9175136;      Emmering;9;39;4689;9;46;5284;9;44;6623;9;43;7091;8;40;5739
9175137;      Steinhöring;6;24;2318;9;33;2255;7;24;2598;9;30;2997;12;35;3322
9175139;      Zorneding;4;24;2162;5;70;13247;7;83;12928;7;73;12937;7;97;15558
9175444;      Gemeindefreie Gebiete;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
9176111;      Adelschlag;2;.;.;2;.;.;2;.;.;2;.;.;2;.;.
9176112;      Altmannstein, M;10;90;13413;9;89;13929;11;85;12958;11;88;13389;12;84;14636
9176114;      Beilngries, St;15;163;20094;14;145;19195;16;142;23405;17;159;22001;21;164;22618
9176116;      Böhmfeld;1;.;.;1;.;.;1;.;.;1;.;.;1;.;.
