Volkszählung am 25. Mai 1987, Zensus am 9. Mai 2011 und 15. Mai 2022;;;;;;;;;;;;;;;;;;;
;Gemeinden (einschl. gemeindefreie Gebiete);;;;;;;;;;;;;;;;;;
;;25.05.1987;;;;;;09.05.2011;;;;;;15.05.2022;;;;;
;;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte;Bevölkerung;Bevölkerung;;;Privathaushalte;Einpersonenhaushalte
;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;;;Religionszugehörigkeit;;Nationalität;;
;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;;;Römisch-katholische Kirche;Evangelische Kirche (einschließlich Freikirchen);Ausländer;;
;;;;;;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
9171135;Unterneukirchen;2051;1818;100;121;698;146;2855;2.134;273;143;1.102;264;3360;2066;280;327;1399;438
9171137;Winhöring;4500;3996;349;83;1629;316;4639;3.589;388;124;2.037;577;4742;3181;331;346;2180;779
9172111;Ainring;8099;6454;1059;534;3321;1021;9511;6.164;1.225;1.071;4.200;1.440;9650;5199;986;1557;4381;1835
9172112;Anger;3739;3314;282;137;1310;318;4299;3.362;325;249;1.756;473;4253;2872;255;377;1867;661
9172114;Bad Reichenhall, GKSt;16342;11790;3311;1226;8139;3649;16829;8.874;2.838;1.871;9.559;4.702;18055;7409;2179;3852;9958;5317
9172115;Bayerisch Gmain;2557;1620;624;225;1235;529;2909;1.472;518;315;1.441;642;2937;1236;363;508;1432;711
9172116;Berchtesgaden, M;7538;6022;1117;468;3467;1367;7577;5.039;908;823;3.774;1.616;7610;4402;720;1211;3897;1883
9172117;Bischofswiesen;7033;5386;1287;311;2960;1062;7386;4.797;970;395;3.327;1.287;7112;4178;747;724;3335;1501
9172118;Freilassing, St;13451;9987;2234;1614;6240;2285;15799;8.344;2.383;3.213;7.773;3.191;17024;6984;1845;4655;8620;4128
9172122;Laufen, St;5634;4715;610;300;2218;676;6818;4.766;603;1.205;3.022;1.153;7021;4005;547;1461;3378;1507
9172124;Marktschellenberg, M;1726;1514;147;80;637;149;1730;1.314;144;162;750;236;1737;1136;107;248;778;294
9172128;Piding;4213;3300;672;196;1784;584;5140;3.255;651;425;2.409;843;5299;2735;501;673;2565;1086
9172129;Ramsau b.Berchtesgaden;1694;1526;134;52;580;129;1727;1.441;98;84;715;191;1668;1256;89;177;689;240
9172130;Saaldorf-Surheim;4125;3704;272;172;1339;208;5252;3.961;397;436;2.040;473;5530;3593;331;502;2359;784
9172131;Schneizlreuth;1264;1145;82;36;467;105;1346;1.088;92;56;562;148;1362;909;80;148;611;229
9172132;Schönau a.Königssee;5213;4089;839;317;2129;721;5349;3.808;611;325;2.436;850;5383;3288;459;755;2512;1062
9172134;Teisendorf, M;8061;7552;345;127;2553;488;9155;7.723;482;289;3.483;939;9226;7167;399;417;3770;1247
9172444;Gemeindefreie Gebiete;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
9173111;Bad Heilbrunn;2743;2002;502;93;1058;285;3674;2.157;517;183;1.581;504;3889;1926;440;368;1720;638
9173112;Bad Tölz, St;13798;9796;2628;1092;6371;2528;17480;8.908;2.818;1.763;8.573;3.764;19642;7819;2294;3936;9513;4552
9173113;Benediktbeuern;2717;2279;285;103;1158;439;3511;2.327;433;177;1.664;620;3696;2072;450;307;1895;865
9173115;Bichl;1544;1268;197;37;639;186;2080;1.392;231;69;885;256;2246;1316;200;144;1010;369
